City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
637,Ixtapa,MX,79.0,overcast clouds,20.7,-105.2,Hotel Plaza Providencia
638,Chiang Klang,TH,82.99,scattered clouds,19.2938,100.8617,Sangthong Resort
652,San Patricio,US,77.0,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
655,Vila Velha,BR,77.0,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
657,Bairiki,KI,78.8,light rain,1.3292,172.9752,Tarawa Boutique Hotel
660,Piacabucu,BR,77.56,few clouds,-10.4056,-36.4344,Piaçabuçu News
662,Rantepao,ID,79.43,overcast clouds,-2.9701,119.8978,Hotel Luta Resort
667,Barreirinhas,BR,76.66,few clouds,-2.7469,-42.8264,Gran Lençóis Flat Residence
670,Namatanai,PG,83.19,overcast clouds,-3.6667,152.4333,Namatanai Hotel
683,Maragogi,BR,77.72,scattered clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
688,Escarcega,MX,79.79,clear sky,18.6089,-90.7454,Hotel Maria Isabel
689,Lucea,JM,80.6,few clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
691,Jacmel,HT,82.4,scattered clouds,18.2342,-72.5347,Hotel Florita
693,Kawalu,ID,81.39,scattered clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
