City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
187,Thurso,GB,2021-04-26 01:32:45,58.5927,-3.5259,44.6,87,100,3.44,light rain
188,Pangnirtung,CA,2021-04-26 01:32:46,66.1451,-65.7125,31.03,83,98,5.64,overcast clouds
189,Salalah,OM,2021-04-26 01:32:46,17.0151,54.0924,80.6,74,40,3.44,scattered clouds
190,Gucheng,CN,2021-04-26 01:32:46,35.9115,111.3192,61.77,60,63,4.12,broken clouds
191,Sitka,US,2021-04-26 01:32:46,57.0531,-135.33,57.2,44,1,3.44,clear sky
192,Touros,BR,2021-04-26 01:32:47,-5.1989,-35.4608,78.8,83,40,4.61,scattered clouds
193,Matara,LK,2021-04-26 01:32:47,5.9485,80.5353,78.8,85,100,2.42,overcast clouds
194,Hervey Bay,AU,2021-04-26 01:32:47,-25.2986,152.8535,77.0,59,21,5.99,few clouds
195,Havoysund,NO,2021-04-26 01:32:47,70.9963,24.6622,32.0,100,75,5.75,light snow
196,Gamba,GA,2021-04-26 01:32:48,-2.65,10.0,77.58,88,45,1.63,scattered clouds
197,Mokhsogollokh,RU,2021-04-26 01:32:48,61.4681,128.9203,34.47,98,100,4.59,light rain
198,Tuktoyaktuk,CA,2021-04-26 01:32:48,69.4541,-133.0374,12.2,85,90,16.11,snow
199,Tura,IN,2021-04-26 01:32:48,25.5198,90.2201,88.5,23,4,5.46,clear sky
200,Lavrentiya,RU,2021-04-26 01:32:49,65.5833,-171.0,32.99,94,95,0.96,overcast clouds
201,Chute-Aux-Outardes,CA,2021-04-26 01:32:49,49.1168,-68.399,42.8,61,75,17.27,broken clouds
202,Severnoye,RU,2021-04-26 01:32:49,56.3491,78.3619,43.79,66,100,9.84,overcast clouds
203,Bay Roberts,CA,2021-04-26 01:32:49,47.5999,-53.2648,42.01,79,9,1.01,clear sky
204,Zhigalovo,RU,2021-04-26 01:32:50,54.8097,105.1578,36.59,74,94,11.43,overcast clouds
205,Brownsville,US,2021-04-26 01:30:23,25.9018,-97.4975,77.0,73,1,11.5,clear sky
206,Longyearbyen,SJ,2021-04-26 01:32:50,78.2186,15.6401,6.44,89,54,0.74,broken clouds
207,Elizabeth City,US,2021-04-26 01:32:50,36.2946,-76.2511,55.4,71,1,4.61,clear sky
208,Kavieng,PG,2021-04-26 01:32:50,-2.5744,150.7967,83.68,67,91,2.53,overcast clouds
209,Srinagar,IN,2021-04-26 01:32:51,34.0833,74.8167,52.2,45,0,1.36,clear sky
210,Tuatapere,NZ,2021-04-26 01:32:51,-46.1333,167.6833,46.99,88,100,17.0,overcast clouds
211,Nouadhibou,MR,2021-04-26 01:32:51,20.931,-17.0347,64.4,88,0,16.11,clear sky
212,Umm Lajj,SA,2021-04-26 01:31:40,25.0213,37.2685,78.73,59,0,10.13,clear sky
213,Alice Springs,AU,2021-04-26 01:32:51,-23.7,133.8833,73.99,28,0,16.11,clear sky
214,Lasa,IT,2021-04-26 01:32:52,46.6166,10.7002,48.0,75,0,3.44,clear sky
215,Bismarck,US,2021-04-26 01:32:52,46.8083,-100.7837,39.2,87,90,8.05,overcast clouds
216,Brae,GB,2021-04-26 01:32:52,60.3964,-1.353,42.8,93,100,4.61,overcast clouds
217,Kruisfontein,ZA,2021-04-26 01:32:52,-34.0033,24.7314,65.19,52,100,4.14,overcast clouds
218,Ayan,RU,2021-04-26 01:32:53,56.45,138.1667,31.59,77,91,5.37,overcast clouds
219,Agropoli,IT,2021-04-26 01:32:53,40.3469,14.9966,53.01,58,13,1.01,few clouds
220,Ribeira Grande,PT,2021-04-26 01:32:53,38.5167,-28.7,59.0,72,20,11.5,few clouds
221,Vila Praia De Ancora,PT,2021-04-26 01:32:54,41.811,-8.8526,61.0,88,0,4.61,clear sky
222,Barra Patuca,HN,2021-04-26 01:32:54,15.8,-84.2833,80.28,71,71,14.32,broken clouds
223,Mahebourg,MU,2021-04-26 01:32:54,-20.4081,57.7,75.2,94,75,11.5,light rain
224,Genhe,CN,2021-04-26 01:32:54,50.7833,121.5167,59.04,26,100,11.3,overcast clouds
225,Kilindoni,TZ,2021-04-26 01:32:55,-7.9139,39.6668,79.02,82,74,8.05,light rain
226,Paka,MY,2021-04-26 01:32:55,4.6374,103.4368,82.4,83,20,3.44,few clouds
227,Faya,SA,2021-04-26 01:32:56,18.3851,42.4509,60.8,59,40,7.34,scattered clouds
228,Rio Grande,BR,2021-04-26 01:32:56,-32.035,-52.0986,60.01,87,43,4.0,light rain
229,Hobyo,SO,2021-04-26 01:32:56,5.3505,48.5268,82.85,64,78,8.52,broken clouds
230,Mende,FR,2021-04-26 01:32:56,44.6667,3.5,38.71,81,100,3.62,overcast clouds
231,Sarangani,PH,2021-04-26 01:32:57,5.4033,125.4636,83.79,74,100,11.88,overcast clouds
232,Makakilo City,US,2021-04-26 01:29:15,21.3469,-158.0858,82.4,54,90,10.36,overcast clouds
233,Bowen,AU,2021-04-26 01:32:57,-20.0167,148.2333,77.0,65,90,17.27,overcast clouds
234,Harper,LR,2021-04-26 01:32:57,4.375,-7.7169,76.24,87,100,5.03,overcast clouds
